name init coarse refined old_err coarse_err new_err delta improved mutated
2 -0.392415 -0.462228 -0.466476 11.504903 10.468490 10.464156 -0.074061 1 0
2 -0.293148 -0.397867 -0.392014 10.404872 8.969448 8.961841 -0.098867 1 0
2 -0.205078 -0.327251 -0.325063 9.298365 7.768701 7.767620 -0.119985 1 0
2 -0.074445 -0.283885 -0.288174 9.167316 7.233390 7.232455 -0.213728 1 0
2 -0.004284 -0.056644 -0.054455 5.489879 5.104085 5.103396 -0.050170 1 0
2 0.179828 0.144921 0.147896 5.071026 4.645893 4.639551 -0.031932 1 0
2 0.319436 0.319436 0.311870 4.337270 4.337270 4.244894 -0.007566 1 0
2 0.424270 0.424270 0.418138 3.457536 3.457536 3.359342 -0.006132 1 0
2 -0.942028 -0.959481 -0.967076 12.009967 11.596390 11.550007 -0.025048 1 0
2 0.551458 0.551458 0.546324 1.554873 1.554873 1.458283 -0.005134 1 0
2 0.672244 0.672244 0.670598 2.999168 2.999168 2.988910 -0.001645 1 0
2 -0.711820 -0.729273 -0.736540 9.762135 9.457238 9.425369 -0.024720 1 0
2 -0.562792 -0.597698 -0.603673 9.625212 9.071175 9.055247 -0.040881 1 0
2 -0.453397 -0.505757 -0.507590 10.629873 10.077436 10.076771 -0.054194 1 0
2 -0.322026 -0.409292 -0.413544 9.444134 8.462126 8.458624 -0.091518 1 0
2 -0.205154 -0.344780 -0.344706 8.729488 7.274805 7.274856 -0.139552 1 0
2 -0.127329 -0.249502 -0.248137 6.501080 6.030541 6.030376 -0.120809 1 0
2 -0.029285 -0.046738 -0.048922 4.941561 4.822297 4.821033 -0.019637 1 0
2 -1.008107 -1.025561 -1.030564 11.536968 11.102851 11.078932 -0.022456 1 0
2 -0.875197 -0.892651 -0.899582 10.217701 9.807495 9.765880 -0.024385 1 0
2 -0.743560 -0.761014 -0.767295 8.675450 8.353947 8.328329 -0.023735 1 0
2 -0.585997 -0.620903 -0.621583 8.205124 7.724465 7.724424 -0.035586 1 0
2 -0.506934 -0.541841 -0.540946 7.290430 6.964580 6.964328 -0.034012 1 0
2 -0.355677 -0.425490 -0.426159 7.587794 6.933504 6.933370 -0.070483 1 0
2 -0.225196 -0.364822 -0.369985 5.962582 4.404028 4.401298 -0.144789 1 0
2 -1.109008 -1.126461 -1.131503 12.846120 12.391168 12.366982 -0.022495 1 0
2 -0.992010 -1.009464 -1.016118 12.476190 12.049963 12.011661 -0.024107 1 0
2 -0.735393 -0.770299 -0.766333 11.453811 11.014508 11.005552 -0.030940 1 0
2 -0.616487 -0.651394 -0.649600 10.941192 10.582030 10.580939 -0.033113 1 0
2 -0.476625 -0.528985 -0.529438 10.062008 9.487125 9.487079 -0.052813 1 0
2 -0.338433 -0.425700 -0.429378 10.300600 9.396711 9.394930 -0.090944 1 0
2 -0.263343 -0.368062 -0.366625 7.466945 6.546584 6.546306 -0.103283 1 0
2 -0.181262 -0.320888 -0.313683 6.762987 5.758754 5.753257 -0.132421 1 0
2 -0.055939 -0.090846 -0.096823 5.107681 4.895424 4.891244 -0.040884 1 0
2 0.038324 0.020870 0.024310 2.775212 2.655510 2.647896 -0.014014 1 0
2 0.216433 0.198980 0.205449 2.792784 2.706724 2.654154 -0.010984 1 0
2 -1.136896 -1.154349 -1.160517 13.084008 12.636822 12.602680 -0.023621 1 0
2 0.352199 0.352199 0.345533 2.286546 2.286546 2.191347 -0.006667 1 0
2 -0.987496 -1.022402 -1.015492 11.932829 11.423528 11.386385 -0.027997 1 0
2 0.481077 0.481077 0.479133 2.641188 2.641188 2.631418 -0.001944 1 0
2 -0.840193 -0.875100 -0.871835 12.412012 11.898709 11.892852 -0.031642 1 0
2 0.612590 0.612590 0.613412 3.489909 3.489909 3.487215 0.000822 1 0
2 -0.723712 -0.758618 -0.760735 12.413624 11.861098 11.858951 -0.037023 1 0
2 0.736831 0.736831 0.737231 3.904495 3.904495 3.903889 0.000399 1 0
2 -0.597479 -0.649839 -0.641866 12.051220 11.475525 11.454491 -0.044386 1 0
2 -0.495651 -0.548011 -0.544392 10.919995 10.365066 10.361799 -0.048742 1 0
