sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
1 666666666 2.93707 -0.133523 0.134504 2.92732 -0.13427 0.134238 0.425456 0.477101 3.16455 -0.011641 0.267045 -1.79992 0.52588 ekf 1 0.191666
1 683333333 2.94056 -0.119715 0.134724 2.92007 -0.119186 0.134008 0.368112 0.429484 3.16153 -0.00859734 0.265581 -1.53647 0.472016 ekf 1 0.205333
1 700000000 2.95543 -0.105987 0.135695 2.92603 -0.104259 0.134643 0.298094 0.37197 3.1711 -0.00864914 0.263061 -1.23118 0.404192 ekf 1 0.302988
1 716666666 2.95433 -0.0906596 0.135656 2.93011 -0.089552 0.134906 0.257723 0.318014 3.17766 -0.00805922 0.260626 -1.01968 0.35687 ekf 1 0.252391
1 733333333 2.91356 -0.0753317 0.133761 2.91245 -0.075281 0.133789 0.213585 0.265592 3.16355 -0.00697664 0.260227 -0.996969 0.323025 ekf 1 0.194624
1 750000000 2.88285 -0.0593831 0.132361 2.88839 -0.0612093 0.132484 0.224836 0.23354 3.14218 -0.000836252 0.260877 -1.02698 0.327657 ekf 1 0.183537
1 766666666 2.90403 -0.0444137 0.133645 2.88708 -0.0453968 0.132869 0.148558 0.186444 3.14293 0.00286455 0.260358 -0.925438 0.313525 ekf 1 0.347535
1 783333333 2.86653 -0.0281015 0.132533 2.86849 -0.0299761 0.132318 0.119405 0.14439 3.12628 0.00750675 0.260499 -0.930821 0.310303 ekf 1 0.173916
1 800000000 2.86725 -0.0136186 0.132861 2.85962 -0.0153918 0.132351 0.12004 0.115939 3.11875 0.0147863 0.260876 -0.893519 0.318996 ekf 1 0.186211
1 816666666 2.82984 0.00231485 0.131576 2.82984 0.00231485 0.131576 -0.0712201 -0.0712201 3.11875 0.0147863 0 -0.893519 0.318996 ekf 0 0.186211
1 833333333 2.85787 0.0173075 0.133645 2.85837 0.0171664 0.133643 0.00437793 -0.00250845 3.11809 0.0165149 0.259722 0.00288492 0.00326364 ekf 1 0.183157
1 850000000 2.88308 0.0326244 0.135205 2.87509 0.0273712 0.134935 0.0128503 0.00531416 3.13278 0.0287405 0.257685 0.336755 0.22352 ekf 1 0.195378
1 866666666 2.87257 0.0484456 0.135502 2.87525 0.0426286 0.135538 -0.00944636 -0.000781815 3.13306 0.042427 0.257818 0.214974 0.487531 ekf 1 0.211915
1 883333333 2.87096 0.0637815 0.135557 2.87383 0.0598391 0.135713 -0.0845773 -0.0318114 3.13209 0.0516207 0.258392 0.120643 0.588361 ekf 1 0.191147
1 899999999 2.88192 0.0792946 0.137089 2.87986 0.0765017 0.136858 -0.113161 -0.063047 3.13809 0.0601995 0.258744 0.178449 0.60823 ekf 1 0.190534
1 916666666 2.88951 0.0944141 0.138138 2.88709 0.0924494 0.137963 -0.144533 -0.0961658 3.14486 0.0675837 0.258971 0.225211 0.590802 ekf 1 0.184964
1 933333333 2.88809 0.109133 0.139404 2.88973 0.107981 0.139197 -0.197925 -0.13838 3.14636 0.0722401 0.259104 0.19951 0.542874 ekf 1 0.187117
1 950000000 2.89113 0.123972 0.139588 2.89272 0.123257 0.139734 -0.253869 -0.1877 3.14721 0.0749194 0.259046 0.1768 0.485016 ekf 1 0.195168
1 966666666 2.88206 0.137862 0.139823 2.8894 0.137935 0.140056 -0.316273 -0.2437 3.14033 0.0755421 0.258573 0.0985856 0.421174 ekf 1 0.189879
1 983333333 2.94059 0.154589 0.143923 2.91822 0.152686 0.142881 -0.315588 -0.282972 3.16773 0.0801348 0.259844 0.281607 0.402498 ekf 1 0.166266
2 0 2.96023 0.169431 0.145575 2.94344 0.167486 0.144999 -0.35538 -0.323239 3.19073 0.0846471 0.260795 0.399276 0.386644 ekf 1 0.196494
2 16666666 2.9728 0.183583 0.147278 2.96309 0.182088 0.146879 -0.398951 -0.365271 3.20718 0.0887391 0.261332 0.456938 0.370752 ekf 1 0.25419
2 33333333 2.95735 0.195426 0.147337 2.96581 0.196043 0.147589 -0.468963 -0.416804 3.20373 0.0907076 0.260189 0.398939 0.343848 ekf 1 0.184619
2 49999999 2.99169 0.210184 0.149941 2.98411 0.209718 0.149521 -0.502725 -0.464189 3.2172 0.0930157 0.260671 0.433028 0.324249 ekf 1 0.203908
2 66666666 3.05221 0.226616 0.154703 3.02354 0.223743 0.153317 -0.524949 -0.505185 3.25489 0.0957944 0.264374 0.571651 0.311947 ekf 1 0.302008
2 83333333 3.06957 0.239704 0.15606 3.05337 0.23766 0.155597 -0.573857 -0.548714 3.28064 0.0987194 0.266379 0.641629 0.30143 ekf 1 0.295249
2 100000000 3.0516 0.249214 0.156662 3.0609 0.250438 0.156812 -0.636345 -0.597455 3.27957 0.101653 0.264488 0.594494 0.290291 ekf 1 0.215827
2 116666666 3.13425 0.266609 0.161838 3.10441 0.263744 0.16058 -0.666224 -0.643141 3.32007 0.102119 0.269504 0.711467 0.273736 ekf 1 0.278725
2 133333333 3.08531 0.272395 0.160169 3.10496 0.275256 0.160895 -0.729395 -0.691802 3.30907 0.106177 0.265046 0.628777 0.268785 ekf 1 0.257106
2 149999999 0 0 1 0 0 1 -0.729395 -0.691802 3.30907 0.106177 0.265046 0.628777 0.268785 ekf 0 0.257106
2 166666666 2.97329 -0.183677 0.194398 2.97329 -0.183677 0.194398 0.54679 0.54679 3.30907 0.106177 0 0.628777 0.268785 ekf 0 0.257106
