t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.650000 2.894480 -0.061288 0.131035 2.918250 -0.058608 0.131900 0.165443 0.278151 3.229880 0.030380 0.324090 0.071660 0.037671 1 0.264812 0.044350 0.013846 0.046461 -0.006220 0.015022 0.016258 -0.116564 0 -0.388774 0.227997 0.450697 1.736239 -0.048239 -0.089828 -0.024469 -0.087149
0.666667 2.857390 -0.044892 0.129985 2.910520 -0.043466 0.129963 0.133086 0.220868 3.226720 0.027530 0.324069 0.062763 0.029541 1 0.263770 -0.037090 0.016397 0.040553 -0.007730 0.015142 0.017001 -0.032357 0 -0.412332 0.248781 0.481570 1.703882 -0.085329 -0.073432 -0.032199 -0.072006
0.683333 2.872400 -0.030305 0.130663 2.905650 -0.028887 0.128481 0.132114 0.170997 3.224900 0.026241 0.323970 0.057061 0.025399 1 0.259768 0.015010 0.014586 0.020930 -0.004870 0.014579 0.015371 -0.000972 0 -0.395177 0.264600 0.475581 1.702910 -0.070319 -0.058846 -0.037069 -0.057427
0.700000 2.841860 -0.014100 0.129884 2.899070 -0.014216 0.127310 0.116482 0.125625 3.220430 0.026368 0.323910 0.046084 0.024819 1 0.270625 -0.030540 0.016206 0.034573 -0.006580 0.014671 0.016079 -0.015632 0 -0.416214 0.281247 0.502329 1.687278 -0.100859 -0.042640 -0.043649 -0.042756
0.716667 2.830580 0.002132 0.129377 2.892440 0.000987 0.126337 0.065256 0.079354 3.215370 0.026666 0.323947 0.034405 0.024760 1 0.234146 -0.011280 0.016232 0.019766 -0.006630 0.015203 0.016585 -0.051226 0 -0.405914 0.298723 0.503986 1.636052 -0.112139 -0.026409 -0.050279 -0.027554
0.733333 2.857960 0.017232 0.131223 2.889090 0.015935 0.125804 0.046889 0.036845 3.212940 0.027873 0.324075 0.028354 0.026650 1 0.273829 0.027380 0.015100 0.031268 -0.003350 0.014948 0.015319 -0.018367 0 -0.370170 0.313078 0.484813 1.617685 -0.084759 -0.011308 -0.053629 -0.012605
0.750000 2.876300 0.033929 0.132676 2.888230 0.031669 0.125610 -0.035238 -0.011090 3.212450 0.028073 0.324235 0.026375 0.026374 1 0.258779 0.018340 0.016697 0.024802 -0.000860 0.015734 0.015758 -0.082127 0 -0.324727 0.329889 0.462898 1.535558 -0.066419 0.005389 -0.054489 0.003129
0.766667 2.862310 0.049012 0.133005 2.886530 0.046952 0.125650 -0.042957 -0.053632 3.210550 0.029558 0.324486 0.021687 0.028827 1 0.196027 -0.013990 0.015083 0.020572 -0.001700 0.015283 0.015378 -0.007719 0 -0.334305 0.343641 0.479426 1.527839 -0.080409 0.020472 -0.056189 0.018412
0.783333 2.881650 0.064704 0.134771 2.887060 0.062224 0.125987 -0.081820 -0.095632 3.210360 0.031211 0.324784 0.020379 0.031518 1 0.200357 0.019340 0.015693 0.024906 0.000530 0.015271 0.015280 -0.038863 0 -0.302166 0.357191 0.467856 1.488976 -0.061069 0.036164 -0.055659 0.033683
0.800000 2.882140 0.080416 0.135109 2.887990 0.077539 0.126394 -0.119793 -0.137030 3.210090 0.033125 0.325143 0.018920 0.034670 1 0.281034 0.000490 0.015711 0.015719 0.000930 0.015316 0.015344 -0.037973 0 -0.289093 0.370104 0.469629 1.451003 -0.060579 0.051875 -0.054729 0.048999
0.816667 2.883930 0.095942 0.135820 2.889510 0.092910 0.126929 -0.165784 -0.178974 3.209810 0.034964 0.325507 0.017532 0.037563 1 0.260550 0.001790 0.015526 0.015629 0.001520 0.015371 0.015446 -0.045991 0 -0.272163 0.382022 0.469056 1.405012 -0.058789 0.067401 -0.053209 0.064370
